transaction_id,customer_id,date,amount,currency,transaction_type,country,merchant_category,is_fraud,fraud_score
TXN0000001,CUST00334,2023-05-28 22:05:00,28.79,USD,ACH,UK,Money Transfer,0,0.0
TXN0000002,CUST00142,2023-10-03 08:59:00,97.64,USD,ACH,US,Crypto Exchange,0,8.89
TXN0000003,CUST00333,2023-10-28 07:15:00,17194.53,USD,ACH,US,Gaming,0,40.61
TXN0000004,CUST00399,2023-06-19 22:30:00,491.89,USD,Wire Transfer,US,Healthcare,0,36.81
TXN0000005,CUST00320,2023-10-09 05:26:00,111.38,USD,ACH,US,Travel,0,0.0
TXN0000006,CUST00408,2023-05-28 10:18:00,519.59,USD,ACH,BR,Healthcare,0,0.0
TXN0000007,CUST00340,2023-04-29 17:47:00,92.84,USD,Wire Transfer,RU,Gaming,1,61.05
TXN0000008,CUST00221,2023-04-01 01:53:00,3034.51,USD,Cash Withdrawal,MX,Money Transfer,0,16.84
TXN0000009,CUST00257,2023-05-29 01:00:00,60.05,USD,ACH,IN,Crypto Exchange,0,5.93
TXN0000010,CUST00485,2023-11-25 17:33:00,520.19,USD,Cash Deposit,DE,Gaming,0,32.97
TXN0000011,CUST00346,2023-04-09 03:21:00,480.07,USD,POS,DE,Gaming,0,35.79
TXN0000012,CUST00068,2023-06-01 18:43:00,1856.94,USD,Wire Transfer,BR,Gaming,0,49.45
TXN0000013,CUST00248,2023-07-27 13:32:00,17.96,USD,POS,MX,Gaming,0,0.0
TXN0000014,CUST00060,2023-05-08 00:16:00,373.76,USD,Cash Withdrawal,UK,Money Transfer,0,38.93
TXN0000015,CUST00130,2023-06-04 18:46:00,86.24,USD,Cash Deposit,IN,Gaming,0,13.01
TXN0000016,CUST00358,2023-08-27 09:10:00,185.21,USD,Wire Transfer,RU,Restaurant,0,41.56
TXN0000017,CUST00409,2023-12-20 03:40:00,47235.02,USD,Online Transfer,BR,Gaming,0,17.23
TXN0000018,CUST00490,2023-08-21 23:38:00,5564.54,USD,ACH,CN,Travel,0,5.79
TXN0000019,CUST00070,2023-10-03 21:52:00,2623.34,USD,POS,IN,Healthcare,0,1.49
TXN0000020,CUST00193,2023-09-28 22:23:00,419.44,USD,Wire Transfer,CN,Restaurant,0,27.39
TXN0000021,CUST00201,2023-10-08 16:12:00,35.97,USD,Wire Transfer,US,Restaurant,0,14.89
TXN0000022,CUST00048,2023-04-16 22:37:00,3284.5,USD,Cash Withdrawal,US,Restaurant,0,17.49
TXN0000023,CUST00096,2023-08-21 04:32:00,56.17,USD,Cash Withdrawal,BR,Travel,0,18.89
TXN0000024,CUST00151,2023-07-22 08:52:00,543.25,USD,Cash Deposit,RU,Gaming,1,51.53
TXN0000025,CUST00349,2023-08-05 11:44:00,286.43,USD,POS,US,Retail,0,29.51
TXN0000026,CUST00304,2023-07-29 05:49:00,62.07,USD,Cash Withdrawal,US,Travel,0,32.5
TXN0000027,CUST00092,2023-08-04 11:57:00,46.91,USD,Online Transfer,NG,Money Transfer,0,30.07
TXN0000028,CUST00231,2023-12-05 17:08:00,75.15,USD,Wire Transfer,RU,Crypto Exchange,1,68.59
TXN0000029,CUST00471,2023-10-03 12:33:00,181.72,USD,Wire Transfer,US,Healthcare,0,39.33
TXN0000030,CUST00471,2023-08-26 21:46:00,13.61,USD,Wire Transfer,AE,Restaurant,1,64.91
TXN0000031,CUST00152,2023-05-07 14:22:00,1054.34,USD,Cash Withdrawal,MX,Healthcare,0,23.63
TXN0000032,CUST00273,2023-12-05 13:39:00,637.12,USD,Wire Transfer,US,Retail,0,25.35
TXN0000033,CUST00377,2023-02-21 19:02:00,339.57,USD,ACH,US,Gaming,0,5.91
TXN0000034,CUST00235,2023-08-13 07:34:00,33.28,USD,Online Transfer,US,Healthcare,0,4.93
TXN0000035,CUST00398,2023-05-29 07:52:00,719.6,USD,Wire Transfer,US,Healthcare,0,31.34
TXN0000036,CUST00219,2023-05-02 09:56:00,41.43,USD,Online Transfer,BR,Travel,0,0.0
TXN0000037,CUST00115,2023-06-03 08:03:00,650.67,USD,POS,US,Gaming,0,0.0
TXN0000038,CUST00123,2023-10-12 15:03:00,9106.1,USD,Online Transfer,RU,Travel,1,70.33
TXN0000039,CUST00224,2023-09-26 10:44:00,1517.19,USD,Online Transfer,DE,Healthcare,0,15.08
TXN0000040,CUST00027,2023-04-26 09:54:00,1183.13,USD,POS,CN,Healthcare,0,2.85
TXN0000041,CUST00039,2023-10-15 13:26:00,14336.46,USD,Cash Withdrawal,IN,Gaming,0,34.98
TXN0000042,CUST00302,2023-08-19 11:05:00,68.92,USD,Cash Deposit,NG,Healthcare,0,43.11
TXN0000043,CUST00141,2023-07-13 21:38:00,1236.2,USD,ACH,US,Healthcare,0,0.0
